PRIM_STATE,AREA,AREA_NAME,OCC_TITLE,A_MEAN,Rent50_3,Ratio
NE,36541,"Omaha-Council Bluffs, NE-IA",Composite titles,"81,093",1123,16.62%
MI,28021,"Kalamazoo-Portage, MI",Composite titles,"72,157",1000,16.63%
VA,25501,"Harrisonburg, VA",Composite titles,"71,947",1000,16.68%
OK,36421,"Oklahoma City, OK",Composite titles,"75,537",1054,16.74%
TX,19125,"Dallas-Plano-Irving, TX Metropolitan Division",Composite titles,"93,222",1302,16.76%
WI,39541,"Racine, WI",Composite titles,"74,345",1039,16.77%
WI,33341,"Milwaukee-Waukesha-West Allis, WI",Composite titles,"78,469",1100,16.82%
NY,40381,"Rochester, NY",Composite titles,"79,261",1112,16.84%
OR,13461,"Bend, OR",Composite titles,"70,351",992,16.92%
IL,44101,"Springfield, IL",Composite titles,"73,041",1036,17.02%
MI,22421,"Flint, MI",Composite titles,"69,652",988,17.02%
TN,28941,"Knoxville, TN",Composite titles,"77,545",1101,17.04%
MI,26101,"Holland-Grand Haven, MI",Composite titles,"80,793",1149,17.07%
OH,45781,"Toledo, OH",Composite titles,"68,320",972,17.07%
PA,39741,"Reading, PA",Composite titles,"80,268",1143,17.09%
IL,40421,"Rockford, IL",Composite titles,"76,430",1089,17.10%
NC,11701,"Asheville, NC",Composite titles,"69,401",990,17.12%
IN,43781,"South Bend-Mishawaka, IN-MI",Composite titles,"66,954",957,17.15%
MA,74205,"Lawrence-Methuen-Salem, MA-NH NECTA Division",Composite titles,"101,035",1448,17.20%
IN,29141,"Lafayette, IN",Composite titles,"74,780",1072,17.20%
MI,29621,"Lansing-East Lansing, MI",Composite titles,"75,942",1089,17.21%
IN,23845,"Gary, IN Metropolitan Division",Composite titles,"74,509",1070,17.23%
MA,78255,"Taunton-Norton-Raynham, MA NECTA Division",Composite titles,"97,822",1405,17.24%
KY,31141,"Louisville-Jefferson County, KY-IN",Composite titles,"72,748",1045,17.24%
OH,17461,"Cleveland-Elyria-Mentor, OH",Composite titles,"74,689",1073,17.24%
FL,37341,"Palm Bay-Melbourne-Titusville, FL",Composite titles,"87,661",1260,17.25%
TX,13141,"Beaumont-Port Arthur, TX",Composite titles,"80,148",1155,17.29%
CO,24541,"Greeley, CO",Composite titles,"76,482",1103,17.31%
MI,24341,"Grand Rapids-Wyoming, MI",Composite titles,"79,204",1144,17.33%
MI,35661,"Niles-Benton Harbor, MI",Composite titles,"68,209",986,17.35%
CA,47301,"Visalia-Porterville, CA",Composite titles,"82,020",1186,17.35%
IA,11181,"Ames, IA",Composite titles,"73,762",1068,17.37%
GA,23581,"Gainesville, GA",Composite titles,"76,703",1111,17.38%
WI,11541,"Appleton, WI",Composite titles,"73,364",1065,17.42%
MD,12581,"Baltimore-Towson, MD",Composite titles,"110,010",1599,17.44%
OK,46141,"Tulsa, OK",Composite titles,"73,246",1066,17.46%
PA,44301,"State College, PA",Composite titles,"89,935",1311,17.49%
MO,28141,"Kansas City, MO-KS",Composite titles,"85,157",1243,17.52%
TX,15181,"Brownsville-Harlingen, TX",Composite titles,"62,750",918,17.56%
MO,17861,"Columbia, MO",Composite titles,"64,209",942,17.61%
TN,32821,"Memphis, TN-MS-AR",Composite titles,"77,605",1142,17.66%
TN,17301,"Clarksville, TN-KY",Composite titles,"72,165",1063,17.68%
PA,21501,"Erie, PA",Composite titles,"60,924",899,17.71%
MS,37701,"Pascagoula, MS",Composite titles,"81,848",1208,17.71%
MN,41061,"St. Cloud, MN",Composite titles,"69,919",1035,17.76%
AL,46221,"Tuscaloosa, AL",Composite titles,"73,529",1090,17.79%
WV,34061,"Morgantown, WV",Composite titles,"75,202",1115,17.79%
VA,40061,"Richmond, VA",Composite titles,"87,218",1294,17.80%
CO,24301,"Grand Junction, CO",Composite titles,"80,112",1189,17.81%
TX,11101,"Amarillo, TX",Composite titles,"71,761",1067,17.84%
TX,30981,"Longview, TX",Composite titles,"72,028",1071,17.84%
NC,24781,"Greenville, NC",Composite titles,"66,162",984,17.85%
CT,76451,"Norwich-New London, CT-RI",Composite titles,"94,776",1412,17.88%
TN,34981,"Nashville-Davidson--Murfreesboro--Franklin, TN",Composite titles,"80,275",1199,17.92%
FL,19661,"Deltona-Daytona Beach-Ormond Beach, FL",Composite titles,"62,809",939,17.94%
PA,49621,"York-Hanover, PA",Composite titles,"76,729",1148,17.95%
VA,13981,"Blacksburg-Christiansburg-Radford, VA",Composite titles,"71,515",1071,17.97%
MI,12981,"Battle Creek, MI",Composite titles,"71,014",1064,17.98%
UT,36261,"Ogden-Clearfield, UT",Composite titles,"76,678",1149,17.98%
UT,30861,"Logan, UT-ID",Composite titles,"62,285",935,18.01%
KS,45821,"Topeka, KS",Composite titles,"71,646",1078,18.06%
IN,21141,"Elkhart-Goshen, IN",Composite titles,"61,978",934,18.08%
OH,15941,"Canton-Massillon, OH",Composite titles,"61,025",923,18.15%
CO,19741,"Denver-Aurora-Broomfield, CO",Composite titles,"99,382",1504,18.16%
TX,33261,"Midland, TX",Composite titles,"82,640",1253,18.19%
PA,25421,"Harrisburg-Carlisle, PA",Composite titles,"76,827",1165,18.20%
TX,18581,"Corpus Christi, TX",Composite titles,"77,945",1182,18.20%
SD,43621,"Sioux Falls, SD",Composite titles,"73,415",1115,18.23%
AZ,46061,"Tucson, AZ",Composite titles,"82,159",1251,18.27%
CO,22661,"Fort Collins-Loveland, CO",Composite titles,"91,772",1401,18.32%
KY,30461,"Lexington-Fayette, KY",Composite titles,"71,721",1095,18.32%
WA,42645,"Seattle-Bellevue-Everett, WA Metropolitan Division",Composite titles,"116,013",1777,18.38%
TX,17781,"College Station-Bryan, TX",Composite titles,"68,567",1052,18.41%
ME,74651,"Lewiston-Auburn, ME",Composite titles,"64,240",986,18.42%
UT,41621,"Salt Lake City, UT",Composite titles,"85,797",1318,18.43%
LA,43341,"Shreveport-Bossier City, LA",Composite titles,"65,379",1005,18.45%
IA,20221,"Dubuque, IA",Composite titles,"66,899",1029,18.46%
WA,44061,"Spokane, WA",Composite titles,"72,517",1120,18.53%
GA,19141,"Dalton, GA",Composite titles,"84,218",1302,18.55%
AR,30781,"Little Rock-North Little Rock-Conway, AR",Composite titles,"70,767",1098,18.62%
LA,29341,"Lake Charles, LA",Composite titles,"67,093",1041,18.62%
ID,26821,"Idaho Falls, ID",Composite titles,"63,322",983,18.63%
MN,31861,"Mankato-North Mankato, MN",Composite titles,"65,897",1025,18.67%
PA,37965,"Philadelphia, PA Metropolitan Division",Composite titles,"90,671",1414,18.71%
FL,27261,"Jacksonville, FL",Composite titles,"83,927",1311,18.74%
PA,10901,"Allentown-Bethlehem-Easton, PA-NJ",Composite titles,"82,937",1296,18.75%
SC,34821,"Myrtle Beach-North Myrtle Beach-Conway, SC",Composite titles,"68,030",1064,18.77%
AL,33661,"Mobile, AL",Composite titles,"71,281",1115,18.77%
TX,12421,"Austin-Round Rock-San Marcos, TX",Composite titles,"92,888",1454,18.78%
GA,42341,"Savannah, GA",Composite titles,"77,446",1218,18.87%
TX,29701,"Laredo, TX",Composite titles,"69,010",1088,18.92%
MO,44181,"Springfield, MO",Composite titles,"64,773",1022,18.93%
SC,17901,"Columbia, SC",Composite titles,"70,458",1117,19.02%
UT,41101,"St. George, UT",Composite titles,"69,336",1100,19.04%
IL,16975,"Chicago-Joliet-Naperville, IL Metropolitan Division",Composite titles,"83,851",1331,19.05%
MA,78101,"Springfield, MA-CT",Composite titles,"79,246",1260,19.08%
AZ,38061,"Phoenix-Mesa-Glendale, AZ",Composite titles,"88,457",1410,19.13%
KS,31741,"Manhattan, KS",Composite titles,"74,830",1197,19.20%
MN,33461,"Minneapolis-St. Paul-Bloomington, MN-WI",Composite titles,"88,629",1419,19.21%
LA,26381,"Houma-Bayou Cane-Thibodaux, LA",Composite titles,"89,010",1064,14.34%
MD,25181,"Hagerstown-Martinsburg, MD-WV",Composite titles,"89,390",1436,19.28%
ND,13901,"Bismarck, ND",Composite titles,"66,521",1071,19.32%
OR,38901,"Portland-Vancouver-Hillsboro, OR-WA",Composite titles,"88,638",1428,19.33%
CA,44701,"Stockton, CA",Composite titles,"90,150",1453,19.34%
FL,36741,"Orlando-Kissimmee-Sanford, FL",Composite titles,"85,286",1380,19.42%
FL,45301,"Tampa-St. Petersburg-Clearwater, FL",Composite titles,"83,248",1349,19.45%
SC,16701,"Charleston-North Charleston-Summerville, SC",Composite titles,"75,971",1239,19.57%
CT,73451,"Hartford-West Hartford-East Hartford, CT",Composite titles,"89,294",1457,19.58%
PA,11021,"Altoona, PA",Composite titles,"57,476",940,19.63%
WA,36501,"Olympia, WA",Composite titles,"87,763",1436,19.63%
LA,12941,"Baton Rouge, LA",Composite titles,"64,888",1064,19.68%
OR,21661,"Eugene-Springfield, OR",Composite titles,"77,343",1270,19.70%
MD,13645,"Bethesda-Rockville-Frederick, MD Metropolitan Division",Composite titles,"100,322",1657,19.82%
FL,36101,"Ocala, FL",Composite titles,"68,338",1129,19.82%
NJ,35085,"Newark-Union, NJ-PA Metropolitan Division",Composite titles,"105,894",1752,19.85%
CA,33701,"Modesto, CA",Composite titles,"85,377",1418,19.93%
GA,12021,"Athens-Clarke County, GA",Composite titles,"62,910",1047,19.97%
IL,14061,"Bloomington-Normal, IL",Composite titles,"81,198",1363,20.14%
WI,31541,"Madison, WI",Composite titles,"77,964",1315,20.24%
WI,27501,"Janesville, WI",Composite titles,"61,420",1037,20.26%
FL,29461,"Lakeland-Winter Haven, FL",Composite titles,"69,537",1177,20.31%
ND,22021,"Fargo, ND-MN",Composite titles,"62,746",1067,20.41%
CT,71951,"Bridgeport-Stamford-Norwalk, CT",Composite titles,"96,516",1642,20.42%
PA,29541,"Lancaster, PA",Composite titles,"73,138",1245,20.43%
NM,42141,"Santa Fe, NM",Composite titles,"81,568",1389,20.43%
LA,35381,"New Orleans-Metairie-Kenner, LA",Composite titles,"74,282",1268,20.48%
NV,39901,"Reno-Sparks, NV",Composite titles,"84,681",1449,20.53%
VA,16821,"Charlottesville, VA",Composite titles,"78,823",1351,20.57%
ID,14261,"Boise City-Nampa, ID",Composite titles,"64,958",1114,20.58%
WI,20741,"Eau Claire, WI",Composite titles,"67,623",1163,20.64%
NH,76901,"Portsmouth, NH-ME",Composite titles,"90,603",1559,20.65%
AZ,49741,"Yuma, AZ",Composite titles,74576,1286,20.69%
MS,25061,"Gulfport-Biloxi, MS",Composite titles,"65,882",1137,20.71%
CA,40141,"Riverside-San Bernardino-Ontario, CA",Composite titles,"91,663",1582,20.71%
NH,74951,"Manchester, NH",Composite titles,"80,814",1395,20.71%
CA,40901,"Sacramento--Arden-Arcade--Roseville, CA",Composite titles,"91,417",1580,20.74%
GA,31421,"Macon, GA",Composite titles,"64,200",1110,20.75%
FL,37861,"Pensacola-Ferry Pass-Brent, FL",Composite titles,"68,528",1200,21.01%
NJ,45941,"Trenton-Ewing, NJ",Composite titles,"96,403",1705,21.22%
WA,45105,"Tacoma, WA Metropolitan Division",Composite titles,"87,803",1563,21.36%
SD,39661,"Rapid City, SD",Composite titles,"62,722",1117,21.37%
NH,75405,"Nashua, NH-MA NECTA Division",Composite titles,"95,139",1696,21.39%
VA,47261,"Virginia Beach-Norfolk-Newport News, VA-NC",Composite titles,"87,472",1562,21.43%
ME,76751,"Portland-South Portland-Biddeford, ME",Composite titles,"79,930",1428,21.44%
CT,75701,"New Haven, CT",Composite titles,"85,156",1523,21.46%
MA,70901,"Barnstable Town, MA",Composite titles,"92,132",1649,21.48%
KS,29941,"Lawrence, KS",Composite titles,"68,052",1221,21.53%
MA,71655,"Boston-Cambridge-Quincy, MA NECTA Division",Composite titles,"109,262",1970,21.64%
PR,41981,"San Juan-Caguas-Guaynabo, PR",Composite titles,"48,591",877,21.66%
CA,46701,"Vallejo-Fairfield, CA",Composite titles,"100,350",1824,21.81%
DE,20101,"Dover, DE",Composite titles,"76,253",1396,21.97%
IA,26981,"Iowa City, IA",Composite titles,"72,794",1335,22.01%
CA,17021,"Chico, CA",Composite titles,"72,528",1331,22.02%
FL,45221,"Tallahassee, FL",Composite titles,"67,257",1236,22.05%
WV,16621,"Charleston, WV",Composite titles,"55,607",1024,22.10%
CA,31085,"Los Angeles-Long Beach-Glendale, CA  Metropolitan Division",Composite titles,"101,789",1875,22.10%
FL,35841,"North Port-Bradenton-Sarasota, FL",Composite titles,"73,546",1355,22.11%
FL,39461,"Punta Gorda, FL",Composite titles,"70,084",1295,22.17%
CA,41941,"San Jose-Sunnyvale-Santa Clara, CA",Composite titles,"134,878",2503,22.27%
WA,34581,"Mount Vernon-Anacortes, WA",Composite titles,"71,697",1334,22.33%
NY,39101,"Poughkeepsie-Newburgh-Middletown, NY",Composite titles,"89,752",1672,22.35%
OR,32781,"Medford, OR",Composite titles,"69,073",1289,22.39%
AZ,22381,"Flagstaff, AZ",Composite titles,"73,995",1383,22.43%
FL,48425,"West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",Composite titles,"86,691",1623,22.47%
TN,16861,"Chattanooga, TN-GA",Composite titles,"72,083",1351,22.49%
NV,29821,"Las Vegas-Paradise, NV",Composite titles,"81,523",1530,22.52%
MA,72105,"Brockton-Bridgewater-Easton, MA NECTA Division",Composite titles,"82,536",1555,22.61%
CO,14501,"Boulder, CO",Composite titles,"104,555",1970,22.61%
FL,23541,"Gainesville, FL",Composite titles,"65,796",1247,22.74%
AR,22901,"Fort Smith, AR-OK",Composite titles,"44,604",850,22.87%
TX,31181,"Lubbock, TX",Composite titles,"62,495",1195,22.95%
TX,21341,"El Paso, TX",Composite titles,"60,108",1151,22.98%
NJ,15805,"Camden, NJ Metropolitan Division",Composite titles,"82,535",1604,23.32%
CA,42061,"Santa Barbara-Santa Maria-Goleta, CA",Composite titles,"96,722",1918,23.80%
FL,34941,"Naples-Marco Island, FL",Composite titles,"71,756",1424,23.81%
MT,33541,"Missoula, MT",Composite titles,"64,588",1283,23.84%
CA,42021,"San Luis Obispo-Paso Robles, CA",Composite titles,"95,819",1905,23.86%
CA,41501,"Salinas, CA",Composite titles,"96,402",1928,24.00%
DC,47895,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Composite titles,"105,688",2127,24.15%
IN,14021,"Bloomington, IN",Composite titles,"63,840",1285,24.15%
FL,37461,"Panama City-Lynn Haven-Panama City Beach, FL",Composite titles,"61,453",1244,24.29%
CA,42221,"Santa Rosa-Petaluma, CA",Composite titles,"96,113",1960,24.47%
CA,41741,"San Diego-Carlsbad-San Marcos, CA",Composite titles,"104,243",2134,24.57%
LA,29181,"Lafayette, LA",Composite titles,"54,033",1108,24.61%
AL,12221,"Auburn-Opelika, AL",Composite titles,"81,772",1685,24.73%
CA,36085,"Oakland-Fremont-Hayward, CA Metropolitan Division",Composite titles,"114,235",2370,24.90%
FL,38941,"Port St. Lucie, FL",Composite titles,"65,216",1356,24.95%
TX,46341,"Tyler, TX",Composite titles,"58,911",1226,24.97%
NC,15501,"Burlington, NC",Composite titles,"81,378",1717,25.32%
CA,37101,"Oxnard-Thousand Oaks-Ventura, CA",Composite titles,"102,532",2192,25.65%
NY,27061,"Ithaca, NY",Composite titles,"78,323",1687,25.85%
FL,33125,"Miami-Miami Beach-Kendall, FL Metropolitan Division",Composite titles,"76,336",1722,27.07%
NY,35645,"New York-White Plains-Wayne, NY-NJ Metropolitan Division",Composite titles,"104,274",2356,27.11%
FL,22745,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",Composite titles,"77,382",1797,27.87%
ME,70751,"Bangor, ME",Composite titles,"66,123",1599,29.02%
CA,34901,"Napa, CA",Composite titles,"90,412",2187,29.03%
NY,35005,"Nassau-Suffolk, NY Metropolitan Division",Composite titles,"91,557",2286,29.96%
CT,72851,"Danbury, CT",Composite titles,"83,365",2112,30.40%
NY,28741,"Kingston, NY",Composite titles,"57,017",1487,31.30%
CA,39821,"Redding, CA",Composite titles,"54,855",1484,32.46%
CA,41885,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",Composite titles,"114,676",3637,38.06%
HI,26181,"Honolulu, HI",Composite titles,"80,338",2682,40.06%
LA,33741,"Monroe, LA",Composite titles,"59,581",2003,40.34%
KY,14541,"Bowling Green, KY",Composite titles,"50,802",1857,43.86%
MA,74805,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",Composite titles,"10,747",1536,171.51%
WA,13380,"Bellingham, WA",Computer Programmers,"97,930",793,9.72%
FL,15980,"Cape Coral-Fort Myers, FL",Computer Programmers,"93,940",923,11.79%
CA,42100,"Santa Cruz-Watsonville, CA",Computer Programmers,"88,520",883,11.97%
NC,25860,"Hickory-Lenoir-Morganton, NC",Computer Programmers,"82,050",836,12.23%
WA,14740,"Bremerton-Silverdale, WA",Computer Programmers,"89,450",932,12.50%
AL,26620,"Huntsville, AL",Computer Programmers,"90,930",1015,13.39%
IL,29404,"Lake County-Kenosha County, IL-WI Metropolitan Division",Computer Programmers,"83,300",956,13.77%
VA,40220,"Roanoke, VA",Computer Programmers,"85,880",1005,14.04%
SC,43900,"Spartanburg, SC",Computer Programmers,"82,280",964,14.06%
WV,26580,"Huntington-Ashland, WV-KY-OH",Computer Programmers,"75,260",906,14.45%
FL,18880,"Crestview-Fort Walton Beach-Destin, FL",Computer Programmers,"75,180",913,14.57%
WA,28420,"Kennewick-Pasco-Richland, WA",Computer Programmers,"86,830",1056,14.59%
CA,12540,"Bakersfield-Delano, CA",Computer Programmers,"83,070",1012,14.62%
LA,10780,"Alexandria, LA",Computer Programmers,"76,510",950,14.90%
NM,10740,"Albuquerque, NM",Computer Programmers,"99,140",1231,14.90%
AL,20020,"Dothan, AL",Computer Programmers,"63,140",792,15.05%
CO,17820,"Colorado Springs, CO",Computer Programmers,"77,540",979,15.15%
MN,20260,"Duluth, MN-WI",Computer Programmers,"76,730",971,15.19%
OR,13460,"Bend, OR",Computer Programmers,"78,370",992,15.19%
SC,22500,"Florence, SC",Computer Programmers,"67,610",862,15.30%
FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Computer Programmers,"73,640",939,15.30%
VA,31340,"Lynchburg, VA",Computer Programmers,"69,880",897,15.40%
MO,27620,"Jefferson City, MO",Computer Programmers,"74,350",955,15.41%
GA,12060,"Atlanta-Sandy Springs-Marietta, GA",Computer Programmers,"98,240",1263,15.43%
OH,15940,"Canton-Massillon, OH",Computer Programmers,"71,610",923,15.47%
OH,49660,"Youngstown-Warren-Boardman, OH-PA",Computer Programmers,"67,100",865,15.47%
NE,30700,"Lincoln, NE",Computer Programmers,"64,790",842,15.59%
MN,40340,"Rochester, MN",Computer Programmers,"92,870",1208,15.61%
AL,13820,"Birmingham-Hoover, AL",Computer Programmers,"81,540",1065,15.67%
TX,32580,"McAllen-Edinburg-Mission, TX",Computer Programmers,"67,110",878,15.70%
MI,29620,"Lansing-East Lansing, MI",Computer Programmers,"82,780",1089,15.79%
CA,47300,"Visalia-Porterville, CA",Computer Programmers,"90,020",1186,15.81%
PA,27780,"Johnstown, PA",Computer Programmers,"63,970",845,15.85%
AK,11260,"Anchorage, AK",Computer Programmers,"80,680",1066,15.86%
OH,10420,"Akron, OH",Computer Programmers,"78,690",1041,15.87%
AL,33860,"Montgomery, AL",Computer Programmers,"79,050",1046,15.88%
IN,23060,"Fort Wayne, IN",Computer Programmers,"67,780",905,16.02%
NC,24660,"Greensboro-High Point, NC",Computer Programmers,"76,890",1034,16.14%
WY,16940,"Cheyenne, WY",Computer Programmers,"64,760",876,16.23%
IL,16580,"Champaign-Urbana, IL",Computer Programmers,"69,220",937,16.24%
SC,24860,"Greenville-Mauldin-Easley, SC",Computer Programmers,"76,150",1041,16.40%
FL,37340,"Palm Bay-Melbourne-Titusville, FL",Computer Programmers,"91,980",1260,16.44%
IN,23844,"Gary, IN Metropolitan Division",Computer Programmers,"77,930",1070,16.48%
NE,36540,"Omaha-Council Bluffs, NE-IA",Computer Programmers,"81,620",1123,16.51%
