PRIM_STATE,AREA,AREA_NAME,OCC_TITLE,A_MEAN,Rent50_3,Ratio
CO,24541,"Greeley, CO",Composite titles,76482,1103,0.1730603279
MI,24341,"Grand Rapids-Wyoming, MI",Composite titles,79204,1144,0.1733245796
MI,35661,"Niles-Benton Harbor, MI",Composite titles,68209,986,0.1734668446
CA,47301,"Visalia-Porterville, CA",Composite titles,82020,1186,0.173518654
IA,11181,"Ames, IA",Composite titles,73762,1068,0.1737480003
GA,23581,"Gainesville, GA",Composite titles,76703,1111,0.1738132798
WI,11541,"Appleton, WI",Composite titles,73364,1065,0.1741998801
MD,12581,"Baltimore-Towson, MD",Composite titles,110010,1599,0.1744205072
OK,46141,"Tulsa, OK",Composite titles,73246,1066,0.1746443492
PA,44301,"State College, PA",Composite titles,89935,1311,0.1749263357
MO,28141,"Kansas City, MO-KS",Composite titles,85157,1243,0.1751588243
TX,15181,"Brownsville-Harlingen, TX",Composite titles,62750,918,0.1755537849
MO,17861,"Columbia, MO",Composite titles,64209,942,0.1760500864
TN,32821,"Memphis, TN-MS-AR",Composite titles,77605,1142,0.1765865601
TN,17301,"Clarksville, TN-KY",Composite titles,72165,1063,0.176761588
PA,21501,"Erie, PA",Composite titles,60924,899,0.1770730747
MS,37701,"Pascagoula, MS",Composite titles,81848,1208,0.177108787
MN,41061,"St. Cloud, MN",Composite titles,69919,1035,0.1776341195
AL,46221,"Tuscaloosa, AL",Composite titles,73529,1090,0.1778889962
WV,34061,"Morgantown, WV",Composite titles,75202,1115,0.1779208
VA,40061,"Richmond, VA",Composite titles,87218,1294,0.1780366438
CO,24301,"Grand Junction, CO",Composite titles,80112,1189,0.1781006591
TX,11101,"Amarillo, TX",Composite titles,71761,1067,0.1784256072
TX,30981,"Longview, TX",Composite titles,72028,1071,0.1784306103
NC,24781,"Greenville, NC",Composite titles,66162,984,0.1784710257
CT,76451,"Norwich-New London, CT-RI",Composite titles,94776,1412,0.1787794378
TN,34981,"Nashville-Davidson--Murfreesboro--Franklin, TN",Composite titles,80275,1199,0.1792338835
FL,19661,"Deltona-Daytona Beach-Ormond Beach, FL",Composite titles,62809,939,0.1794010413
PA,49621,"York-Hanover, PA",Composite titles,76729,1148,0.1795409819
VA,13981,"Blacksburg-Christiansburg-Radford, VA",Composite titles,71515,1071,0.1797105502
MI,12981,"Battle Creek, MI",Composite titles,71014,1064,0.1797955333
UT,36261,"Ogden-Clearfield, UT",Composite titles,76678,1149,0.1798168966
UT,30861,"Logan, UT-ID",Composite titles,62285,935,0.1801396805
KS,45821,"Topeka, KS",Composite titles,71646,1078,0.1805543924
IN,21141,"Elkhart-Goshen, IN",Composite titles,61978,934,0.180838362
OH,15941,"Canton-Massillon, OH",Composite titles,61025,923,0.1814993855
CO,19741,"Denver-Aurora-Broomfield, CO",Composite titles,99382,1504,0.1816023022
TX,33261,"Midland, TX",Composite titles,82640,1253,0.181945789
PA,25421,"Harrisburg-Carlisle, PA",Composite titles,76827,1165,0.1819672771
TX,18581,"Corpus Christi, TX",Composite titles,77945,1182,0.1819744692
SD,43621,"Sioux Falls, SD",Composite titles,73415,1115,0.1822515835
AZ,46061,"Tucson, AZ",Composite titles,82159,1251,0.1827188744
CO,22661,"Fort Collins-Loveland, CO",Composite titles,91772,1401,0.1831931308
KY,30461,"Lexington-Fayette, KY",Composite titles,71721,1095,0.1832099385
WA,42645,"Seattle-Bellevue-Everett, WA Metropolitan Division",Composite titles,116013,1777,0.1838069871
TX,17781,"College Station-Bryan, TX",Composite titles,68567,1052,0.1841118906
ME,74651,"Lewiston-Auburn, ME",Composite titles,64240,986,0.1841843088
UT,41621,"Salt Lake City, UT",Composite titles,85797,1318,0.1843421099
LA,43341,"Shreveport-Bossier City, LA",Composite titles,65379,1005,0.1844629009
IA,20221,"Dubuque, IA",Composite titles,66899,1029,0.18457675
WA,44061,"Spokane, WA",Composite titles,72517,1120,0.1853358523
GA,19141,"Dalton, GA",Composite titles,84218,1302,0.1855185352
AR,30781,"Little Rock-North Little Rock-Conway, AR",Composite titles,70767,1098,0.1861884777
LA,29341,"Lake Charles, LA",Composite titles,67093,1041,0.1861893193
ID,26821,"Idaho Falls, ID",Composite titles,63322,983,0.186285967
MN,31861,"Mankato-North Mankato, MN",Composite titles,65897,1025,0.1866549312
PA,37965,"Philadelphia, PA Metropolitan Division",Composite titles,90671,1414,0.1871381147
FL,27261,"Jacksonville, FL",Composite titles,83927,1311,0.1874486161
PA,10901,"Allentown-Bethlehem-Easton, PA-NJ",Composite titles,82937,1296,0.1875158253
SC,34821,"Myrtle Beach-North Myrtle Beach-Conway, SC",Composite titles,68030,1064,0.187681905
AL,33661,"Mobile, AL",Composite titles,71281,1115,0.1877078043
TX,12421,"Austin-Round Rock-San Marcos, TX",Composite titles,92888,1454,0.1878391181
GA,42341,"Savannah, GA",Composite titles,77446,1218,0.1887250471
TX,29701,"Laredo, TX",Composite titles,69010,1088,0.1891899725
MO,44181,"Springfield, MO",Composite titles,64773,1022,0.1893381502
SC,17901,"Columbia, SC",Composite titles,70458,1117,0.1902409946
UT,41101,"St. George, UT",Composite titles,69336,1100,0.1903772932
IL,16975,"Chicago-Joliet-Naperville, IL Metropolitan Division",Composite titles,83851,1331,0.1904807337
MA,78101,"Springfield, MA-CT",Composite titles,79246,1260,0.1907982737
AZ,38061,"Phoenix-Mesa-Glendale, AZ",Composite titles,88457,1410,0.1912793787
KS,31741,"Manhattan, KS",Composite titles,74830,1197,0.1919550982
MN,33461,"Minneapolis-St. Paul-Bloomington, MN-WI",Composite titles,88629,1419,0.1921267305
LA,26381,"Houma-Bayou Cane-Thibodaux, LA",Composite titles,89010,1064,0.1434445568
MD,25181,"Hagerstown-Martinsburg, MD-WV",Composite titles,89390,1436,0.1927732409
ND,13901,"Bismarck, ND",Composite titles,66521,1071,0.1932021467
OR,38901,"Portland-Vancouver-Hillsboro, OR-WA",Composite titles,88638,1428,0.1933256617
CA,44701,"Stockton, CA",Composite titles,90150,1453,0.1934109817
FL,36741,"Orlando-Kissimmee-Sanford, FL",Composite titles,85286,1380,0.1941702038
FL,45301,"Tampa-St. Petersburg-Clearwater, FL",Composite titles,83248,1349,0.194455122
SC,16701,"Charleston-North Charleston-Summerville, SC",Composite titles,75971,1239,0.1957062563
CT,73451,"Hartford-West Hartford-East Hartford, CT",Composite titles,89294,1457,0.1958026295
PA,11021,"Altoona, PA",Composite titles,57476,940,0.1962558285
WA,36501,"Olympia, WA",Composite titles,87763,1436,0.1963469799
LA,12941,"Baton Rouge, LA",Composite titles,64888,1064,0.1967698188
OR,21661,"Eugene-Springfield, OR",Composite titles,77343,1270,0.197044335
MD,13645,"Bethesda-Rockville-Frederick, MD Metropolitan Division",Composite titles,100322,1657,0.1982017902
FL,36101,"Ocala, FL",Composite titles,68338,1129,0.1982498756
NJ,35085,"Newark-Union, NJ-PA Metropolitan Division",Composite titles,105894,1752,0.1985381608
CA,33701,"Modesto, CA",Composite titles,85377,1418,0.1993042623
GA,12021,"Athens-Clarke County, GA",Composite titles,62910,1047,0.199713877
IL,14061,"Bloomington-Normal, IL",Composite titles,81198,1363,0.2014335328
WI,31541,"Madison, WI",Composite titles,77964,1315,0.2024011082
WI,27501,"Janesville, WI",Composite titles,61420,1037,0.2026050147
FL,29461,"Lakeland-Winter Haven, FL",Composite titles,69537,1177,0.2031148885
ND,22021,"Fargo, ND-MN",Composite titles,62746,1067,0.2040608166
CT,71951,"Bridgeport-Stamford-Norwalk, CT",Composite titles,96516,1642,0.2041526793
PA,29541,"Lancaster, PA",Composite titles,73138,1245,0.2042713774
NM,42141,"Santa Fe, NM",Composite titles,81568,1389,0.2043448411
LA,35381,"New Orleans-Metairie-Kenner, LA",Composite titles,74282,1268,0.2048410113
NV,39901,"Reno-Sparks, NV",Composite titles,84681,1449,0.2053353172
VA,16821,"Charlottesville, VA",Composite titles,78823,1351,0.2056760083
ID,14261,"Boise City-Nampa, ID",Composite titles,64958,1114,0.2057945134
WI,20741,"Eau Claire, WI",Composite titles,67623,1163,0.2063794863
NH,76901,"Portsmouth, NH-ME",Composite titles,90603,1559,0.206483229
AZ,49741,"Yuma, AZ",Composite titles,74576,1286,0.2069298434
MS,25061,"Gulfport-Biloxi, MS",Composite titles,65882,1137,0.207097538
CA,40141,"Riverside-San Bernardino-Ontario, CA",Composite titles,91663,1582,0.2071064661
NH,74951,"Manchester, NH",Composite titles,80814,1395,0.2071423268
CA,40901,"Sacramento--Arden-Arcade--Roseville, CA",Composite titles,91417,1580,0.2074012492
GA,31421,"Macon, GA",Composite titles,64200,1110,0.2074766355
FL,37861,"Pensacola-Ferry Pass-Brent, FL",Composite titles,68528,1200,0.2101330843
NJ,45941,"Trenton-Ewing, NJ",Composite titles,96403,1705,0.2122340591
WA,45105,"Tacoma, WA Metropolitan Division",Composite titles,87803,1563,0.213614569
SD,39661,"Rapid City, SD",Composite titles,62722,1117,0.2137049201
NH,75405,"Nashua, NH-MA NECTA Division",Composite titles,95139,1696,0.2139185823
VA,47261,"Virginia Beach-Norfolk-Newport News, VA-NC",Composite titles,87472,1562,0.2142857143
ME,76751,"Portland-South Portland-Biddeford, ME",Composite titles,79930,1428,0.2143875891
CT,75701,"New Haven, CT",Composite titles,85156,1523,0.2146178778
MA,70901,"Barnstable Town, MA",Composite titles,92132,1649,0.2147787956
KS,29941,"Lawrence, KS",Composite titles,68052,1221,0.2153059425
MA,71655,"Boston-Cambridge-Quincy, MA NECTA Division",Composite titles,109262,1970,0.2163606743
PR,41981,"San Juan-Caguas-Guaynabo, PR",Composite titles,48591,877,0.2165833179
CA,46701,"Vallejo-Fairfield, CA",Composite titles,100350,1824,0.2181165919
DE,20101,"Dover, DE",Composite titles,76253,1396,0.2196897171
IA,26981,"Iowa City, IA",Composite titles,72794,1335,0.2200730829
CA,17021,"Chico, CA",Composite titles,72528,1331,0.2202183984
FL,45221,"Tallahassee, FL",Composite titles,67257,1236,0.2205272314
WV,16621,"Charleston, WV",Composite titles,55607,1024,0.2209793731
CA,31085,"Los Angeles-Long Beach-Glendale, CA  Metropolitan Division",Composite titles,101789,1875,0.2210454961
FL,35841,"North Port-Bradenton-Sarasota, FL",Composite titles,73546,1355,0.221086123
FL,39461,"Punta Gorda, FL",Composite titles,70084,1295,0.2217339193
CA,41941,"San Jose-Sunnyvale-Santa Clara, CA",Composite titles,134878,2503,0.2226901348
WA,34581,"Mount Vernon-Anacortes, WA",Composite titles,71697,1334,0.2232729403
NY,39101,"Poughkeepsie-Newburgh-Middletown, NY",Composite titles,89752,1672,0.2235493359
OR,32781,"Medford, OR",Composite titles,69073,1289,0.2239369942
AZ,22381,"Flagstaff, AZ",Composite titles,73995,1383,0.2242854247
FL,48425,"West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",Composite titles,86691,1623,0.2246599993
TN,16861,"Chattanooga, TN-GA",Composite titles,72083,1351,0.2249073984
NV,29821,"Las Vegas-Paradise, NV",Composite titles,81523,1530,0.2252125167
MA,72105,"Brockton-Bridgewater-Easton, MA NECTA Division",Composite titles,82536,1555,0.2260831637
CO,14501,"Boulder, CO",Composite titles,104555,1970,0.2261010951
FL,23541,"Gainesville, FL",Composite titles,65796,1247,0.2274302389
AR,22901,"Fort Smith, AR-OK",Composite titles,44604,850,0.2286790422
TX,31181,"Lubbock, TX",Composite titles,62495,1195,0.2294583567
TX,21341,"El Paso, TX",Composite titles,60108,1151,0.2297863845
NJ,15805,"Camden, NJ Metropolitan Division",Composite titles,82535,1604,0.2332101533
CA,42061,"Santa Barbara-Santa Maria-Goleta, CA",Composite titles,96722,1918,0.2379603399
FL,34941,"Naples-Marco Island, FL",Composite titles,71756,1424,0.2381403646
MT,33541,"Missoula, MT",Composite titles,64588,1283,0.2383724531
CA,42021,"San Luis Obispo-Paso Robles, CA",Composite titles,95819,1905,0.2385748129
CA,41501,"Salinas, CA",Composite titles,96402,1928,0.2399950209
DC,47895,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Composite titles,105688,2127,0.2415032927
IN,14021,"Bloomington, IN",Composite titles,63840,1285,0.2415413534
FL,37461,"Panama City-Lynn Haven-Panama City Beach, FL",Composite titles,61453,1244,0.2429173515
CA,42221,"Santa Rosa-Petaluma, CA",Composite titles,96113,1960,0.2447119536
CA,41741,"San Diego-Carlsbad-San Marcos, CA",Composite titles,104243,2134,0.2456567827
LA,29181,"Lafayette, LA",Composite titles,54033,1108,0.246071845
AL,12221,"Auburn-Opelika, AL",Composite titles,81772,1685,0.2472729052
CA,36085,"Oakland-Fremont-Hayward, CA Metropolitan Division",Composite titles,114235,2370,0.2489604762
FL,38941,"Port St. Lucie, FL",Composite titles,65216,1356,0.2495093229
TX,46341,"Tyler, TX",Composite titles,58911,1226,0.2497326476
NC,15501,"Burlington, NC",Composite titles,81378,1717,0.2531888225
CA,37101,"Oxnard-Thousand Oaks-Ventura, CA",Composite titles,102532,2192,0.2565442984
NY,27061,"Ithaca, NY",Composite titles,78323,1687,0.2584681384
FL,33125,"Miami-Miami Beach-Kendall, FL Metropolitan Division",Composite titles,76336,1722,0.2706979669
NY,35645,"New York-White Plains-Wayne, NY-NJ Metropolitan Division",Composite titles,104274,2356,0.2711318258
FL,22745,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",Composite titles,77382,1797,0.278669458
ME,70751,"Bangor, ME",Composite titles,66123,1599,0.2901864707
CA,34901,"Napa, CA",Composite titles,90412,2187,0.2902712029
NY,35005,"Nassau-Suffolk, NY Metropolitan Division",Composite titles,91557,2286,0.2996166323
CT,72851,"Danbury, CT",Composite titles,83365,2112,0.3040124753
NY,28741,"Kingston, NY",Composite titles,57017,1487,0.3129592928
CA,39821,"Redding, CA",Composite titles,54855,1484,0.3246376812
CA,41885,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",Composite titles,114676,3637,0.3805853012
HI,26181,"Honolulu, HI",Composite titles,80338,2682,0.4006074336
LA,33741,"Monroe, LA",Composite titles,59581,2003,0.4034171968
KY,14541,"Bowling Green, KY",Composite titles,50802,1057,0.2496752096
MA,74805,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",Composite titles,107047,1536,0.1721860491
WA,13380,"Bellingham, WA",Computer Programmers,97930,793,0.097171449
FL,15980,"Cape Coral-Fort Myers, FL",Computer Programmers,93940,923,0.1179050458
CA,42100,"Santa Cruz-Watsonville, CA",Computer Programmers,88520,883,0.1197017623
NC,25860,"Hickory-Lenoir-Morganton, NC",Computer Programmers,82050,836,0.1222669104
WA,14740,"Bremerton-Silverdale, WA",Computer Programmers,89450,932,0.1250307434
AL,26620,"Huntsville, AL",Computer Programmers,90930,1015,0.1339491917
IL,29404,"Lake County-Kenosha County, IL-WI Metropolitan Division",Computer Programmers,83300,956,0.1377190876
VA,40220,"Roanoke, VA",Computer Programmers,85880,1005,0.1404285049
SC,43900,"Spartanburg, SC",Computer Programmers,82280,964,0.1405930967
WV,26580,"Huntington-Ashland, WV-KY-OH",Computer Programmers,75260,906,0.1444592081
FL,18880,"Crestview-Fort Walton Beach-Destin, FL",Computer Programmers,75180,913,0.1457302474
WA,28420,"Kennewick-Pasco-Richland, WA",Computer Programmers,86830,1056,0.1459403432
CA,12540,"Bakersfield-Delano, CA",Computer Programmers,83070,1012,0.1461899603
LA,10780,"Alexandria, LA",Computer Programmers,76510,950,0.1490001307
NM,10740,"Albuquerque, NM",Computer Programmers,99140,1231,0.1490014121
AL,20020,"Dothan, AL",Computer Programmers,63140,792,0.1505226481
CO,17820,"Colorado Springs, CO",Computer Programmers,77540,979,0.1515088986
MN,20260,"Duluth, MN-WI",Computer Programmers,76730,971,0.1518571615
OR,13460,"Bend, OR",Computer Programmers,78370,992,0.1518948577
SC,22500,"Florence, SC",Computer Programmers,67610,862,0.1529951191
FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Computer Programmers,73640,939,0.1530146659
VA,31340,"Lynchburg, VA",Computer Programmers,69880,897,0.1540354894
MO,27620,"Jefferson City, MO",Computer Programmers,74350,955,0.154135844
GA,12060,"Atlanta-Sandy Springs-Marietta, GA",Computer Programmers,98240,1263,0.1542752443
OH,15940,"Canton-Massillon, OH",Computer Programmers,71610,923,0.1546711353
OH,49660,"Youngstown-Warren-Boardman, OH-PA",Computer Programmers,67100,865,0.1546944858
NE,30700,"Lincoln, NE",Computer Programmers,64790,842,0.1559499923
MN,40340,"Rochester, MN",Computer Programmers,92870,1208,0.1560891569
AL,13820,"Birmingham-Hoover, AL",Computer Programmers,81540,1065,0.1567328918
TX,32580,"McAllen-Edinburg-Mission, TX",Computer Programmers,67110,878,0.1569959768
MI,29620,"Lansing-East Lansing, MI",Computer Programmers,82780,1089,0.1578642184
CA,47300,"Visalia-Porterville, CA",Computer Programmers,90020,1186,0.1580982004
PA,27780,"Johnstown, PA",Computer Programmers,63970,845,0.1585118024
AK,11260,"Anchorage, AK",Computer Programmers,80680,1066,0.1585523054
OH,10420,"Akron, OH",Computer Programmers,78690,1041,0.1587495234
AL,33860,"Montgomery, AL",Computer Programmers,79050,1046,0.1587855787
IN,23060,"Fort Wayne, IN",Computer Programmers,67780,905,0.1602242549
NC,24660,"Greensboro-High Point, NC",Computer Programmers,76890,1034,0.1613733906
WY,16940,"Cheyenne, WY",Computer Programmers,64760,876,0.1623224212
IL,16580,"Champaign-Urbana, IL",Computer Programmers,69220,937,0.1624386016
SC,24860,"Greenville-Mauldin-Easley, SC",Computer Programmers,76150,1041,0.1640446487
FL,37340,"Palm Bay-Melbourne-Titusville, FL",Computer Programmers,91980,1260,0.1643835616
IN,23844,"Gary, IN Metropolitan Division",Computer Programmers,77930,1070,0.1647632491
NE,36540,"Omaha-Council Bluffs, NE-IA",Computer Programmers,81620,1123,0.1651065915
NC,48900,"Wilmington, NC",Computer Programmers,83230,1146,0.1652288838
